CICLO,Fecha,Parcela ,Repetición,Tratamiento,Porte,Número de Plantas Vivas,Número de Plantas Marchitaz,Planta 1 Patologías y Severidades ,Planta 2 Patologías y Severidades ,Planta 3 Patologías y Severidades ,Observaciones
I,01/09/2020,Invernadero,1,3,ALTO,18,4,0,0,0,"Incidencia y marchitez, ahorcamiento del cuello, pudrición cuello y raíz"
I,01/09/2020,Invernadero,1,2,ALTO,18,6,0,DO,DO,CUELLO DEL TALLO DOBLADO Y HOJAS QUEMADAS
I,01/09/2020,Invernadero,1,1,ALTO,18,8,DO,0,DO,"INCIdencia y marchitez, ahorcamiento del cuello, pudrición cuello NO TAN SEVERO COMO EL R1T3"
I,01/09/2020,Invernadero,1,5,ALTO,18,5,0,0,0,INCIDENCIA DE MARCHITEZ IDENTICO A R1T1 SE OBSERVAN HOJAS QUEMADAS DEL BORDE HACIA LA NERVADURA CENTRAL
I,01/09/2020,Invernadero,1,4,ALTO,18,10,DO,DO,DO,INDIDENCIA DE MARCHITEZ HOJAS QUEMADAS CON SIGNOS
I,01/09/2020,Invernadero,1,6,ALTO,18,0,0,0,0,NA
I,01/09/2020,Invernadero,1,7,ALTO,18,1,0,0,0,INCIDENCIA MARCHITEZ PUDRICIÓN GENERALIZADA DE LA PLANTA
I,01/09/2020,Invernadero,2,6,ALTO,18,0,0,0,0,NA
I,01/09/2020,Invernadero,2,7,ALTO,18,0,0,0,0,NA
I,01/09/2020,Invernadero,2,3,ALTO,18,0,0,0,0,QUEMAZON FOLIAR
I,01/09/2020,Invernadero,2,4,ALTO,18,8,DO,DO,DO,INCIDENCIA MARCHITEZ QUEMAZON FOLIAR
I,01/09/2020,Invernadero,2,2,ALTO,18,3,0,0,0,INCIDENCIA DE MARCHITAMIENTO AHORCAMIENTO DEL CUELLO
I,01/09/2020,Invernadero,2,1,ALTO,17,2,DO,0,DO,SÍNTOMAS DE QUEMAZON EN HOJAS
I,01/09/2020,Invernadero,2,5,ALTO,18,0,0,0,0,NA
I,01/09/2020,Invernadero,3,2,ALTO,18,2,DO,DO,0,QUEMAZON FOLIAR TERCIO SUPERIOR DEL DORDE AL INTERIOR DE LA HOJA UNA PLANTA CON UNA QUEMAZÓN 
I,01/09/2020,Invernadero,3,4,ALTO,18,7,DO,DO,DO,NA
I,01/09/2020,Invernadero,3,5,ALTO,12,2,DO,DO,0,QUEMAZON FOLIAR
I,01/09/2020,Invernadero,3,3,ALTO,7,2,DO,0,0,QUEMAZON DESCENDENTE
I,01/09/2020,Invernadero,3,1,ALTO,14,3,DO,DO,DO,SÍNTOMAS DE MARCHITEZ AHORCAMIENTO DEL CUELLO
I,01/09/2020,Invernadero,3,6,ALTO,17,0,0,0,0,NA
I,01/09/2020,Invernadero,3,7,ALTO,18,0,0,0,0,NA
I,01/09/2020,Invernadero,1,11,BAJO,16,0,0,0,0,NA
I,01/09/2020,Invernadero,1,4,BAJO,NA,NA,NA,NA,NA,RESIEMBRA DE REMOLACHA
I,01/09/2020,Invernadero,1,5,BAJO,32,0,0,0,DO,PLANTA MUERTA Y TRANSPLANTE
I,01/09/2020,Invernadero,1,9,BAJO,20,0,0,0,0,NA
I,01/09/2020,Invernadero,1,13,BAJO,20,0,0,0,0,NA
I,01/09/2020,Invernadero,1,16,BAJO,8,0,0,0,0,NA
I,01/09/2020,Invernadero,1,10,BAJO,16,1,0,0,0,PLANTA MUERTA LATAMENTE DETERIORADA
I,01/09/2020,Invernadero,1,15,BAJO,5,0,0,0,0,NA
I,01/09/2020,Invernadero,1,2,BAJO,28,7,0,DO,DO,PLANTAS QUEMADAS 
I,01/09/2020,Invernadero,1,8,BAJO,13,0,0,0,0,NA
I,01/09/2020,Invernadero,1,6,BAJO,15,11,0,0,0,NA
I,01/09/2020,Invernadero,1,1,BAJO,28,1,0,0,DO,NA
I,01/09/2020,Invernadero,1,3,BAJO,22,5,0,0,DO,NA
I,01/09/2020,Invernadero,1,14,BAJO,8,3,DO,DO,DO,NA
I,01/09/2020,Invernadero,1,12,BAJO,16,1,0,DO,0,NA
I,01/09/2020,Invernadero,1,7,BAJO,16,0,0,0,0,NA
I,01/09/2020,Invernadero,2,16,BAJO,8,0,0,0,0,NA
I,01/09/2020,Invernadero,2,11,BAJO,16,1,0,0,0,NA
I,01/09/2020,Invernadero,2,15,BAJO,8,0,0,0,0,NA
I,01/09/2020,Invernadero,2,14,BAJO,8,0,0,0,0,LA SIEMBRA QUEDÓ SUPERFICIAL
